pub_id,pub_name,area,history_query,source_title,source_url,source_description,source_position,observed_at,kg_subject,kg_predicate,kg_object,confidence,notes
london-001-golden-fleece-london-england-html,Golden Fleece,,"""Golden Fleece"" London pub history",". The Golden Fleece 166 Capel Rd, London E12 5DB Manor Park ...",https://www.instagram.com/p/DRX3e0gDP4S/,". The Golden Fleece 166 Capel Rd, London E12 5DB Manor Park ... A North London pub stapled in local history with multiple award winning pub ...",1,2026-07-07T11:05:16.400Z,pub:london-001-golden-fleece-london-england-html,has_history_source,https://www.instagram.com/p/DRX3e0gDP4S/,medium,"Seed source for later human/agent extraction into structured founding date, building era, notable people, and heritage facts."
london-001-golden-fleece-london-england-html,Golden Fleece,,"""Golden Fleece"" London pub history",When was the Fleece pub rebuilt in its current form? - Facebook,https://www.facebook.com/groups/695334193997569/posts/2086920298172278/,"The new Golden Fleece Hotel, as it was named, was built following the creation of Granby Street during the 1890s, together with the laying out of Queen's Park ...",2,2026-07-07T11:05:16.400Z,pub:london-001-golden-fleece-london-england-html,has_history_source,https://www.facebook.com/groups/695334193997569/posts/2086920298172278/,medium,"Seed source for later human/agent extraction into structured founding date, building era, notable people, and heritage facts."
london-002-florattica-rooftop-bar-london-london-england-html,Florattica Rooftop Bar London,,"""Florattica Rooftop Bar London"" London pub history","FLORATTICA ROOFTOP BAR LONDON - Menu, Prices ... - Tripadvisor",https://www.tripadvisor.com/Restaurant_Review-g186338-d25151198-Reviews-Florattica_Rooftop_Bar_London-London_England.html,"Florattica Rooftop Bar London impresses many travelers with its beautiful decor and stunning views, creating a relaxed yet stylish atmosphere.",1,2026-07-07T11:05:16.400Z,pub:london-002-florattica-rooftop-bar-london-london-england-html,has_history_source,https://www.tripadvisor.com/Restaurant_Review-g186338-d25151198-Reviews-Florattica_Rooftop_Bar_London-London_England.html,medium,"Seed source for later human/agent extraction into structured founding date, building era, notable people, and heritage facts."
london-002-florattica-rooftop-bar-london-london-england-html,Florattica Rooftop Bar London,,"""Florattica Rooftop Bar London"" London pub history",Florattica bar in full bloom this Spring - Instagram,https://www.instagram.com/p/DIdw83JodxA/,"... London's leading female bartenders reimagine cocktail history through a contemporary lens. ... florattica rooftop bar, london FLORATTICA ...",2,2026-07-07T11:05:16.400Z,pub:london-002-florattica-rooftop-bar-london-london-england-html,has_history_source,https://www.instagram.com/p/DIdw83JodxA/,medium,"Seed source for later human/agent extraction into structured founding date, building era, notable people, and heritage facts."
london-003-anchor-bankside-london-england-html,Anchor Bankside,Bankside,"""Anchor Bankside"" Bankside pub history","The Anchor, Bankside | Where London's history happened - in the pub",https://londonspubswherehistoryreallyhappened.wordpress.com/2017/07/13/the-anchor/,"The Anchor, Bankside · The hook. The Anchor has a prominent position on Bankside as you emerge from Borough Market via Clink Street. · The history.",1,2026-07-07T11:05:16.400Z,pub:london-003-anchor-bankside-london-england-html,has_history_source,https://londonspubswherehistoryreallyhappened.wordpress.com/2017/07/13/the-anchor/,medium,"Seed source for later human/agent extraction into structured founding date, building era, notable people, and heritage facts."
london-003-anchor-bankside-london-england-html,Anchor Bankside,Bankside,"""Anchor Bankside"" Bankside pub history","Historic Southwark and the Anchor, Bankside ⚓️   - YouTube",https://www.youtube.com/watch?v=27xxj_RZxQ4,"Join us as we briefly embark upon the history of the Anchor pub and how the many ... Historic Southwark and the Anchor, Bankside ⚓️ . 957 views · 1 ...",2,2026-07-07T11:05:16.400Z,pub:london-003-anchor-bankside-london-england-html,has_history_source,https://www.youtube.com/watch?v=27xxj_RZxQ4,medium,"Seed source for later human/agent extraction into structured founding date, building era, notable people, and heritage facts."
london-004-the-goat-tavern-london-england-html,The Goat Tavern,Mayfair,"""The Goat Tavern"" Mayfair pub history","The Goat Tavern, Stafford Street - A London Inheritance",https://alondoninheritance.com/londonpubs/goat-tavern-stafford-street/,"The Goat Tavern dates from this original development as the first public house on the site dates from 1686, but I cannot find any references as ...",1,2026-07-07T11:05:16.400Z,pub:london-004-the-goat-tavern-london-england-html,has_history_source,https://alondoninheritance.com/londonpubs/goat-tavern-stafford-street/,medium,"Seed source for later human/agent extraction into structured founding date, building era, notable people, and heritage facts."
london-004-the-goat-tavern-london-england-html,The Goat Tavern,Mayfair,"""The Goat Tavern"" Mayfair pub history","THE GOAT TAVERN, London - Menu, Prices & Restaurant Reviews",https://www.tripadvisor.com/Restaurant_Review-g186338-d8802890-Reviews-The_Goat_Tavern-London_England.html,Join us at the Goat Tavern in London's Mayfair. Built in 1666 this pub is rich in history and provides you with a cosy spot to escape the ...,2,2026-07-07T11:05:16.400Z,pub:london-004-the-goat-tavern-london-england-html,has_history_source,https://www.tripadvisor.com/Restaurant_Review-g186338-d8802890-Reviews-The_Goat_Tavern-London_England.html,medium,"Seed source for later human/agent extraction into structured founding date, building era, notable people, and heritage facts."
london-005-cahoots-underground-london-england-html,Cahoots Underground,,"""Cahoots Underground"" London pub history",The Story of Cahoots – A 1940s London Bar & Pub,https://www.cahoots.co.uk/the-story/,"Uncover the story of all Cahoots venues, London's 1940s-themed bars and pubs ... Cahoots Underground. Location. Event Type, Experiences, Live Music, Pride Month ...",1,2026-07-07T11:05:16.400Z,pub:london-005-cahoots-underground-london-england-html,has_history_source,https://www.cahoots.co.uk/the-story/,medium,"Seed source for later human/agent extraction into structured founding date, building era, notable people, and heritage facts."
london-005-cahoots-underground-london-england-html,Cahoots Underground,,"""Cahoots Underground"" London pub history",It's Prohibition Remembrance Day and here's a shot of a “speakeasy ...,https://www.facebook.com/DestinationBrevard/posts/its-prohibition-remembrance-day-and-heres-a-shot-of-a-speakeasy-my-son-and-i-wen/1347260767442141/,... London. @Cahoots Underground is a 1940's themed bar not far from Regent Street and it's probably the most appropriately themed speakeasy ...,2,2026-07-07T11:05:16.400Z,pub:london-005-cahoots-underground-london-england-html,has_history_source,https://www.facebook.com/DestinationBrevard/posts/its-prohibition-remembrance-day-and-heres-a-shot-of-a-speakeasy-my-son-and-i-wen/1347260767442141/,medium,"Seed source for later human/agent extraction into structured founding date, building era, notable people, and heritage facts."
london-006-savage-garden-london-england-html,Savage Garden,,"""Savage Garden"" London pub history",Savage Gardens - Wikipedia,https://en.wikipedia.org/wiki/Savage_Gardens,"For the Australian pop rock band of a similar name, see Savage Garden. Savage Gardens is a minor street in the City of London, connecting Crutched Friars in the ...",1,2026-07-07T11:05:16.400Z,pub:london-006-savage-garden-london-england-html,has_history_source,https://en.wikipedia.org/wiki/Savage_Gardens,medium,"Seed source for later human/agent extraction into structured founding date, building era, notable people, and heritage facts."
london-006-savage-garden-london-england-html,Savage Garden,,"""Savage Garden"" London pub history",City Rooftop Bar Located by Tower of London - Savage Garden,https://www.savagegarden.co.uk/contact/,"Showcasing spectacular views, Savage Garden is situated on the 12th floor of the DoubleTree by Hilton – Tower of London hotel.",2,2026-07-07T11:05:16.400Z,pub:london-006-savage-garden-london-england-html,has_history_source,https://www.savagegarden.co.uk/contact/,medium,"Seed source for later human/agent extraction into structured founding date, building era, notable people, and heritage facts."
london-007-masons-arms-london-england-html,Masons Arms,,"""Masons Arms"" London pub history",I loved this pub. The Masons Arms on East Street. I liked going on ...,https://www.facebook.com/groups/6143110432467287/posts/8847894391988864/,"The Masons arms, St. Mary's Street about 15 years ago. Favourite pub of mine, Gales Ales, always ended up there on Christmas Eve. A group of us ...",1,2026-07-07T11:05:16.400Z,pub:london-007-masons-arms-london-england-html,has_history_source,https://www.facebook.com/groups/6143110432467287/posts/8847894391988864/,medium,"Seed source for later human/agent extraction into structured founding date, building era, notable people, and heritage facts."
london-007-masons-arms-london-england-html,Masons Arms,,"""Masons Arms"" London pub history","MASONS ARMS, London - Menu, Prices & Restaurant Reviews",https://www.tripadvisor.com/Restaurant_Review-g186338-d14963496-Reviews-Masons_Arms-London_England.html,"The Masons Arms is a London pub in the heart of Mayfair. With a Tudor-inspired traditional interior, this unique pub blends beauty with comfort, acting as a ...",2,2026-07-07T11:05:16.400Z,pub:london-007-masons-arms-london-england-html,has_history_source,https://www.tripadvisor.com/Restaurant_Review-g186338-d14963496-Reviews-Masons_Arms-London_England.html,medium,"Seed source for later human/agent extraction into structured founding date, building era, notable people, and heritage facts."
london-008-the-stanhope-arms-london-england-html,The Stanhope Arms,,"""The Stanhope Arms"" London pub history","The Stanhope Arms Pub Restaurant in Kensington, - Greene King",https://www.greeneking.co.uk/pubs/greater-london/stanhope-arms,The Stanhope Arms in Kensington was built in the 19th century and retains its original high ceilings and London Victorian heritage. We serve classic British ...,1,2026-07-07T11:05:16.400Z,pub:london-008-the-stanhope-arms-london-england-html,has_history_source,https://www.greeneking.co.uk/pubs/greater-london/stanhope-arms,medium,"Seed source for later human/agent extraction into structured founding date, building era, notable people, and heritage facts."
london-008-the-stanhope-arms-london-england-html,The Stanhope Arms,,"""The Stanhope Arms"" London pub history","The Stanhope Arms, Gloucester Road, South Kensington - Facebook",https://www.facebook.com/groups/mylondonpubs/posts/213464007499816/,The Stanhope arms. Rodley I believe that this was originally The Station Masters house. Later became Paris restaurant. No photo description ...,2,2026-07-07T11:05:16.400Z,pub:london-008-the-stanhope-arms-london-england-html,has_history_source,https://www.facebook.com/groups/mylondonpubs/posts/213464007499816/,medium,"Seed source for later human/agent extraction into structured founding date, building era, notable people, and heritage facts."
london-009-the-victoria-paddington-london-england-html,"The Victoria, Paddington",Paddington,"""The Victoria, Paddington"" Paddington pub history","The Victoria, Paddington | London - Facebook",https://www.facebook.com/TheVictoriaPaddington/,"The Victoria. Paddington. Great pub, beautiful interior. And by modern standards, not outrageous prices!",1,2026-07-07T11:05:16.400Z,pub:london-009-the-victoria-paddington-london-england-html,has_history_source,https://www.facebook.com/TheVictoriaPaddington/,medium,"Seed source for later human/agent extraction into structured founding date, building era, notable people, and heritage facts."
london-009-the-victoria-paddington-london-england-html,"The Victoria, Paddington",Paddington,"""The Victoria, Paddington"" Paddington pub history","The Victoria, Paddington - London Restaurants - Tripadvisor",https://www.tripadvisor.com/Restaurant_Review-g186338-d3208695-Reviews-The_Victoria_Paddington-London_England.html,"The Victoria, Paddington, is popular with many travelers for its cozy, old-school English pub atmosphere, complete with inviting woodwork and warm corners.",2,2026-07-07T11:05:16.400Z,pub:london-009-the-victoria-paddington-london-england-html,has_history_source,https://www.tripadvisor.com/Restaurant_Review-g186338-d3208695-Reviews-The_Victoria_Paddington-London_England.html,medium,"Seed source for later human/agent extraction into structured founding date, building era, notable people, and heritage facts."
london-010-sherlock-holmes-london-england-html,Sherlock Holmes,,"""Sherlock Holmes"" London pub history",The Sherlock Holmes - Wikipedia,https://en.wikipedia.org/wiki/The_Sherlock_Holmes,The Sherlock Holmes is a Victorian-themed public house in Northumberland Street near Charing Cross railway station and Trafalgar Square,1,2026-07-07T11:05:16.400Z,pub:london-010-sherlock-holmes-london-england-html,has_history_source,https://en.wikipedia.org/wiki/The_Sherlock_Holmes,medium,"Seed source for later human/agent extraction into structured founding date, building era, notable people, and heritage facts."
london-010-sherlock-holmes-london-england-html,Sherlock Holmes,,"""Sherlock Holmes"" London pub history",The Sherlock Holmes Pub - Visit London,https://www.visitlondon.com/things-to-do/place/48927-sherlock-holmes-pub,"Step into the Sherlock Holmes pub near Trafalgar Square and discover a slice of history, combining the real and the fictional. The Victorian-style interior ...",2,2026-07-07T11:05:16.400Z,pub:london-010-sherlock-holmes-london-england-html,has_history_source,https://www.visitlondon.com/things-to-do/place/48927-sherlock-holmes-pub,medium,"Seed source for later human/agent extraction into structured founding date, building era, notable people, and heritage facts."
london-011-swan-london-england-html,Swan,,"""Swan"" London pub history",Our Story - Swan London Bar & Restaurant,https://swanlondon.co.uk/about/our-story/,"Since our modest beginnings in 2007 Swan London Bar & Restaurant development has been enlivened with the energy to cook and serve solid, seasonal, ...",1,2026-07-07T11:05:16.400Z,pub:london-011-swan-london-england-html,has_history_source,https://swanlondon.co.uk/about/our-story/,medium,"Seed source for later human/agent extraction into structured founding date, building era, notable people, and heritage facts."
london-011-swan-london-england-html,Swan,,"""Swan"" London pub history",The Swan historic Bayswater London pub - Casa Bouquet,https://casabouquet.com/the-swan-historic-bayswater-london-pub/,"The Swan's first license dates from 1721, but many believe this location was a tavern long before this. The Marble Arch down the road at the ...",2,2026-07-07T11:05:16.400Z,pub:london-011-swan-london-england-html,has_history_source,https://casabouquet.com/the-swan-historic-bayswater-london-pub/,medium,"Seed source for later human/agent extraction into structured founding date, building era, notable people, and heritage facts."
london-012-chesterfield-arms-london-england-html,Chesterfield Arms,,"""Chesterfield Arms"" London pub history",The Chesterfield Arms Mayfair | Classic British Pub in Mayfair,https://www.thechesterfieldarms.com/,The Chesterfield Arms is steeped in history and will combine the best of British cuisine and hospitality. View Menus. The Diners' Choice logo. Book a Table ...,1,2026-07-07T11:05:16.400Z,pub:london-012-chesterfield-arms-london-england-html,has_history_source,https://www.thechesterfieldarms.com/,medium,"Seed source for later human/agent extraction into structured founding date, building era, notable people, and heritage facts."
london-012-chesterfield-arms-london-england-html,Chesterfield Arms,,"""Chesterfield Arms"" London pub history","CHESTERFIELD ARMS, London - Menu, Prices & Restaurant Reviews",https://www.tripadvisor.com/Restaurant_Review-g186338-d1755452-Reviews-Chesterfield_Arms-London_England.html,"Tucked away in the heart of Mayfair, The Chesterfield Arms is a refined yet relaxed pub offering classic charm and a warm welcome.",2,2026-07-07T11:05:16.400Z,pub:london-012-chesterfield-arms-london-england-html,has_history_source,https://www.tripadvisor.com/Restaurant_Review-g186338-d1755452-Reviews-Chesterfield_Arms-London_England.html,medium,"Seed source for later human/agent extraction into structured founding date, building era, notable people, and heritage facts."
london-013-the-churchill-arms-kensington-london-england-html,"The Churchill Arms, Kensington",Kensington,"""The Churchill Arms, Kensington"" Kensington pub history",The Churchill Arms Pub in Kensington Church St Review - Facebook,https://www.facebook.com/groups/mylondonpubs/posts/935511551961721/,"Built in 1750, one of the older and more historic pubs, 'The Churchill Arms', Kensington, London, England. Winston Churchill's grandparents were ...",1,2026-07-07T11:05:16.400Z,pub:london-013-the-churchill-arms-kensington-london-england-html,has_history_source,https://www.facebook.com/groups/mylondonpubs/posts/935511551961721/,medium,"Seed source for later human/agent extraction into structured founding date, building era, notable people, and heritage facts."
london-013-the-churchill-arms-kensington-london-england-html,"The Churchill Arms, Kensington",Kensington,"""The Churchill Arms, Kensington"" Kensington pub history",The Churchill Arms - Fuller's Pub and Restaurant in London,https://www.churchillarmskensington.co.uk/,"Historic pub; Dog Friendly; Free Carpark; Paid Parking Nearby ... Find us. Find Us. The Churchill Arms, Kensington, 119 Kensington Church Street, London, W8 7LN.",2,2026-07-07T11:05:16.400Z,pub:london-013-the-churchill-arms-kensington-london-england-html,has_history_source,https://www.churchillarmskensington.co.uk/,medium,"Seed source for later human/agent extraction into structured founding date, building era, notable people, and heritage facts."
london-014-the-lamb-flag-london-england-html,The Lamb & Flag,,"""The Lamb & Flag"" London pub history","The Lamb And Flag, Rose Street - A London Inheritance",https://alondoninheritance.com/londonpubs/the-lamb-and-flag-rose-street/,although I remember it well from when I started frequenting the Lamb & Flag over 45 years ago: the pub was a welcome watering-hole for us media ...,1,2026-07-07T11:05:16.400Z,pub:london-014-the-lamb-flag-london-england-html,has_history_source,https://alondoninheritance.com/londonpubs/the-lamb-and-flag-rose-street/,medium,"Seed source for later human/agent extraction into structured founding date, building era, notable people, and heritage facts."
